HN,คำนำหน้า,ชื่อ,สกุล,เลขบัตรประชาชน,วันเดือนปีเกิด,อายุ,ระดับการศึกษา,เพศ,บ้านเลขที่,หมู่,ตำบล,อำเภอ,จังหวัด,ที่อยู่รวม,ชื่อผู้ดูแล,เบอร์โทรศัพท์,มีโรคประจำตัว,รายละเอียดโรคประจำตัว,คะแนน MMSE,ผล MMSE,คะแนน TGDS,ผล TGDS,คะแนน 8Q,ระดับความเสี่ยงฆ่าตัวตาย,ผลการได้ยินหูซ้าย,รายละเอียดหูซ้าย,ผลการได้ยินหูขวา,รายละเอียดหูขวา,การมองเห็นตาขวา (Snellen),การมองเห็นตาซ้าย (Snellen),ภาวะกลั้นปัสสาวะ,ปัญหาการนอน,วันที่ประเมิน
HN000486,นางสาว,สิทธา,อรุณสวัสดิ์,8395957534358.00,1952-01-15,73,ประถมศึกษา,หญิง,103,8,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 103 หมู่ 8 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,นงนุช ชูศรี,611654687,ไม่มี,ไม่มี,29,ปกติ,10,เสี่ยงซึมเศร้า,1,ต่ำ,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงรุนแรง,6/18,6/18,ไม่มี,ไม่มี,2025-04-21
HN000487,นาง,ธนพล,ศรีนวล,4534390527048.00,1946-04-15,79,สูงกว่าประถมศึกษา,ชาย,268,1,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 268 หมู่ 1 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,กมล ปัญญา,818003242,มี,หอบหืด,21,สงสัยผิดปกติ,11,เสี่ยงซึมเศร้า,3,ต่ำ,ปกติ,,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/12,ไม่มี,ไม่มี,2025-02-02
HN000488,นาง,กฤตภาส,คำแหง,7101485216775.00,1946-05-03,79,สูงกว่าประถมศึกษา,หญิง,145,4,ต.หัวหมาก,อ.บางกะปิ,จ.กรุงเทพมหานคร,บ้านเลขที่ 145 หมู่ 4 ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,ไม่มีผู้ดูแล,983132585,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,1,ปกติ,2,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,หูตึงปานกลาง,6/9,6/12,มี,ส่งต่อแพทย์,2025-08-09
HN000489,นาย,ชยุต,จันทร์เพ็ญ,7246405118675.00,1954-10-07,71,ประถมศึกษา,หญิง,99,13,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 99 หมู่ 13 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,สมโภชน์ บุญเรือง,813408508,ไม่มี,ไม่มี,29,ปกติ,6,ปกติ,3,ต่ำ,ปกติ,,ปกติ,,6/9,6/18,ไม่มี,ไม่มี,2025-10-18
HN000490,นาย,ภูริ,สิงหนาท,4819027860307.00,1965-07-27,60,ประถมศึกษา,หญิง,153,13,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 153 หมู่ 13 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,ปวีณ์นุช แสงทอง,669542902,ไม่มี,ไม่มี,25,ปกติ,7,เสี่ยงซึมเศร้า,11,สูง,ปกติ,,ปกติ,,6/12,6/6,ไม่มี,ไม่มี,2025-11-05
HN000491,นางสาว,ณัฐชา,คำแหง,6011491747337.00,1935-12-27,90,สูงกว่าประถมศึกษา,หญิง,156,5,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 156 หมู่ 5 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,ไม่มีผู้ดูแล,869599541,มี,โรคหัวใจ,24,ปกติ,10,เสี่ยงซึมเศร้า,5,ต่ำ,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-06-27
HN000492,นางสาว,ภูริ,ทองมาก,9766986570825.00,1950-05-19,75,ประถมศึกษา,หญิง,210,13,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 210 หมู่ 13 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,สมพร แสงทอง,627898071,มี,ไตเรื้อรัง,22,สงสัยผิดปกติ,3,ปกติ,0,ไม่มีความเสี่ยง,ปกติ,,ผิดปกติ,หูตึงเล็กน้อย,6/9,6/18,ไม่มี,ไม่มี,2025-05-24
HN000493,นางสาว,ณัฐชา,อินทรสุข,1619446737846.00,1962-05-10,63,ประถมศึกษา,ชาย,159,17,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 159 หมู่ 17 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,สมพร แสงทอง,854908884,มี,ข้อเข่าเสื่อม,29,ปกติ,4,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,หูตึงเล็กน้อย,6/9,6/6,ไม่มี,ไม่มี,2025-03-10
HN000494,นาง,กิตติชัย,บุญมา,1907302400216.00,1949-10-17,76,ประถมศึกษา,ชาย,152,16,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 152 หมู่ 16 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,ปวีณ์นุช วงศ์ไทย,891555042,มี,ไขมันในเลือดสูง,24,ปกติ,7,เสี่ยงซึมเศร้า,0,ไม่มีความเสี่ยง,ปกติ,,ปกติ,,6/12,6/9,มี,ส่งต่อแพทย์,2025-05-07
HN000495,นาย,รุ้งตะวัน,ปฐวี,8081080408202.00,1962-11-06,63,สูงกว่าประถมศึกษา,ชาย,215,2,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 215 หมู่ 2 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,ปวีณ์นุช แสงทอง,682843261,มี,ข้อเข่าเสื่อม,28,ปกติ,6,ปกติ,3,ต่ำ,ปกติ,,ปกติ,,6/6,6/9,ไม่มี,ไม่มี,2025-03-10
HN000496,นาง,ชยุต,ใจดี,8906249398563.00,1965-02-02,60,สูงกว่าประถมศึกษา,หญิง,208,19,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 208 หมู่ 19 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,อาทิตย์ เพ็งดี,887515994,ไม่มี,ไม่มี,26,ปกติ,8,เสี่ยงซึมเศร้า,8,ปานกลาง,ปกติ,,ปกติ,,6/12,6/9,มี,ไม่มี,2025-06-26
HN000497,นางสาว,วรัญญา,บุญยืน,3959070380290.00,1942-04-27,83,ประถมศึกษา,ชาย,169,9,ต.บางเขน,อ.บางเขน,จ.กรุงเทพมหานคร,บ้านเลขที่ 169 หมู่ 9 ต.บางเขน อ.บางเขน จ.กรุงเทพมหานคร,ไม่มีผู้ดูแล,640553271,ไม่มี,ไม่มี,21,สงสัยผิดปกติ,14,เสี่ยงซึมเศร้า,5,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/24,6/24,มี,ไม่มี,2025-10-20
HN000498,นาย,ธนพล,สิงหนาท,8910719851478.00,1943-05-13,82,ประถมศึกษา,ชาย,45,7,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 45 หมู่ 7 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,ไม่มีผู้ดูแล,666723980,มี,ข้อเข่าเสื่อม,25,ปกติ,13,เสี่ยงซึมเศร้า,7,ปานกลาง,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,หูตึงรุนแรง,6/24,6/24,ไม่มี,ไม่มี,2025-05-24
HN000499,นางสาว,กฤตภาส,อินทรสุข,1315816893305.00,1932-11-17,93,ประถมศึกษา,ชาย,1,4,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 1 หมู่ 4 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,นงนุช แสงทอง,967291900,มี,หอบหืด,22,สงสัยผิดปกติ,5,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/18,6/18,ไม่มี,ไม่มี,2025-03-03
HN000500,นางสาว,กิตติชัย,มณีวรรณ,8106023836005.00,1947-09-21,78,ประถมศึกษา,ชาย,105,1,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 105 หมู่ 1 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,นงนุช ปัญญา,827707063,ไม่มี,ไม่มี,23,สงสัยผิดปกติ,8,เสี่ยงซึมเศร้า,2,ต่ำ,ผิดปกติ,ติดเชื้อในหู,ผิดปกติ,หูตึงเล็กน้อย,6/18,6/12,มี,ไม่มี,2025-06-26
HN000501,นาง,สิริพร,ศิริกุล,4952909613107.00,1934-11-02,91,ประถมศึกษา,ชาย,291,11,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 291 หมู่ 11 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,ไม่มีผู้ดูแล,875443564,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,4,ปกติ,4,ต่ำ,ผิดปกติ,ได้ยินไม่ชัด,ปกติ,,6/18,6/12,มี,ไม่มี,2025-07-24
HN000502,นางสาว,พิมพ์ชนก,กิตติเดช,9388992338338.00,1949-12-08,76,ประถมศึกษา,หญิง,89,12,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 89 หมู่ 12 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,สมพร คำแปง,643708955,มี,ข้อเข่าเสื่อม,27,ปกติ,11,เสี่ยงซึมเศร้า,7,ปานกลาง,ผิดปกติ,หูตึงรุนแรง,ผิดปกติ,ติดเชื้อในหู,6/12,6/9,ไม่มี,ไม่มี,2025-01-19
HN000503,นาย,สมชาย,วัฒนานนท์,7715202001563.00,1961-09-26,64,ประถมศึกษา,หญิง,203,16,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 203 หมู่ 16 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,จารุวรรณ บุญเรือง,664259098,มี,โรคหัวใจ,29,ปกติ,6,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-10-05
HN000504,นาง,ณัฐพล,ศรีภูมิ,8347213653182.00,1941-03-19,84,ประถมศึกษา,ชาย,70,15,ต.หัวหมาก,อ.บางกะปิ,จ.กรุงเทพมหานคร,บ้านเลขที่ 70 หมู่ 15 ต.หัวหมาก อ.บางกะปิ จ.กรุงเทพมหานคร,ไม่มีผู้ดูแล,973348949,มี,เบาหวาน,22,สงสัยผิดปกติ,6,ปกติ,3,ต่ำ,ปกติ,,ผิดปกติ,ติดเชื้อในหู,6/24,6/18,ไม่มี,ไม่มี,2025-07-21
HN000505,นาง,อัญชลี,ตั้งใจดี,6103984289399.00,1948-08-25,77,ประถมศึกษา,ชาย,223,10,ต.ริมกก,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 223 หมู่ 10 ต.ริมกก อ.เมืองเชียงราย จ.เชียงราย,ไม่มีผู้ดูแล,886642596,ไม่มี,ไม่มี,21,สงสัยผิดปกติ,9,เสี่ยงซึมเศร้า,6,ปานกลาง,ปกติ,,ผิดปกติ,ติดเชื้อในหู,6/18,6/9,มี,ไม่มี,2025-01-19
HN000506,นางสาว,กิตติชัย,กิติวงศ์,9270187505290.00,1934-08-23,91,ประถมศึกษา,ชาย,268,16,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 268 หมู่ 16 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,สมโภชน์ แสงทอง,968105875,มี,ไขมันในเลือดสูง,24,ปกติ,12,เสี่ยงซึมเศร้า,5,ต่ำ,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/12,6/18,ไม่มี,ไม่มี,2025-10-27
HN000507,นาง,ธนพล,สุวรรณศิลป์,4428463132437.00,1948-03-09,77,ประถมศึกษา,ชาย,33,16,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 33 หมู่ 16 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,อาทิตย์ สมใจ,894619138,ไม่มี,ไม่มี,24,ปกติ,3,ปกติ,1,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/18,6/12,มี,ส่งต่อแพทย์,2025-09-20
HN000508,นาง,ณัฐชา,ทองดี,1148421330798.00,1941-12-03,84,ประถมศึกษา,ชาย,8,10,ต.เวียง,อ.เมืองเชียงราย,จ.เชียงราย,บ้านเลขที่ 8 หมู่ 10 ต.เวียง อ.เมืองเชียงราย จ.เชียงราย,ไม่มีผู้ดูแล,616727627,มี,หอบหืด,19,สงสัยผิดปกติ,4,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,หูตึงรุนแรง,6/12,6/24,มี,ไม่มี,2025-09-08
HN000509,นางสาว,ภูริ,วัฒนานนท์,8999159447632.00,1949-09-01,76,ประถมศึกษา,หญิง,92,15,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 92 หมู่ 15 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,อาทิตย์ ชูศรี,858421364,มี,โรคหัวใจ,21,สงสัยผิดปกติ,11,เสี่ยงซึมเศร้า,4,ต่ำ,ปกติ,,ผิดปกติ,หูตึงปานกลาง,6/12,6/9,ไม่มี,ส่งต่อแพทย์,2025-11-07
HN000510,นาง,อัญชลี,เรืองเดช,2030007870740.00,1959-12-09,66,ประถมศึกษา,ชาย,74,18,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 74 หมู่ 18 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,สมโภชน์ วัฒนกิจ,886523152,มี,ข้อเข่าเสื่อม,24,ปกติ,7,เสี่ยงซึมเศร้า,3,ต่ำ,ปกติ,,ปกติ,,6/9,6/12,ไม่มี,ส่งต่อแพทย์,2025-01-12
HN000511,นาย,นรินทร์,คำแหง,9332579609897.00,1959-02-26,66,สูงกว่าประถมศึกษา,ชาย,150,11,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 150 หมู่ 11 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,วิชัย อินทรา,845576509,มี,โรคหัวใจ,26,ปกติ,6,ปกติ,4,ต่ำ,ปกติ,,ปกติ,,6/6,6/12,ไม่มี,ไม่มี,2025-07-24
HN000512,นาย,อัญชลี,จันทร์เพ็ญ,8746600256783.00,1950-06-05,75,ประถมศึกษา,ชาย,244,1,ต.แสนสุข,อ.เมืองชลบุรี,จ.ชลบุรี,บ้านเลขที่ 244 หมู่ 1 ต.แสนสุข อ.เมืองชลบุรี จ.ชลบุรี,ไม่มีผู้ดูแล,858231791,มี,ความดันโลหิตสูง,24,ปกติ,10,เสี่ยงซึมเศร้า,3,ต่ำ,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/9,6/12,ไม่มี,ไม่มี,2025-10-28
HN000513,นาย,ธนพล,สุขเกษม,3900877463290.00,1959-02-26,66,สูงกว่าประถมศึกษา,ชาย,180,8,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 180 หมู่ 8 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,วิชัย อินทรา,684277100,มี,โรคหัวใจ,26,ปกติ,6,ปกติ,4,ต่ำ,ปกติ,,ปกติ,,6/6,6/12,ไม่มี,ไม่มี,2025-07-24
HN000514,นาง,สมศรี,ตั้งใจดี,9236245633705.00,1952-12-05,73,ประถมศึกษา,หญิง,270,17,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 270 หมู่ 17 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,กมล ปัญญา,931477324,มี,ไตเรื้อรัง,30,ปกติ,4,ปกติ,4,ต่ำ,ปกติ,,ผิดปกติ,หูตึงเล็กน้อย,6/9,6/18,ไม่มี,ไม่มี,2025-10-01
HN000515,นาย,สิริพร,วัฒนานนท์,1781203990156.00,1935-12-27,90,สูงกว่าประถมศึกษา,หญิง,242,6,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 242 หมู่ 6 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,ไม่มีผู้ดูแล,649587839,มี,โรคหัวใจ,24,ปกติ,10,เสี่ยงซึมเศร้า,5,ต่ำ,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-06-27
HN000516,นางสาว,ชวัลลักษณ์,มงคลชัย,5510882201846.00,1949-03-16,76,ประถมศึกษา,หญิง,40,20,ต.ในเมือง,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 40 หมู่ 20 ต.ในเมือง อ.เมืองขอนแก่น จ.ขอนแก่น,กมล เพ็งดี,649705122,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,3,ปกติ,2,ต่ำ,ปกติ,,ปกติ,,6/9,6/18,ไม่มี,ไม่มี,2025-02-10
HN000517,นาง,อนันต์,ทองมาก,6535219437130.00,1944-07-04,81,ประถมศึกษา,หญิง,99,1,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 99 หมู่ 1 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,จิตรา บุญเรือง,996564331,มี,หอบหืด,23,สงสัยผิดปกติ,11,เสี่ยงซึมเศร้า,7,ปานกลาง,ปกติ,,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/18,ไม่มี,ไม่มี,2025-11-04
HN000518,นาย,ชวัลลักษณ์,กิติวงศ์,6596302460078.00,1948-03-09,77,ประถมศึกษา,ชาย,74,6,ต.แม่กา,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 74 หมู่ 6 ต.แม่กา อ.เมืองพะเยา จ.พะเยา,อาทิตย์ สมใจ,941846357,ไม่มี,ไม่มี,24,ปกติ,3,ปกติ,1,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/18,6/12,มี,ส่งต่อแพทย์,2025-09-20
HN000519,นาง,ภูริ,อรุณสวัสดิ์,1957498147111.00,1950-11-08,75,ประถมศึกษา,ชาย,227,20,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 227 หมู่ 20 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,สมพร สมใจ,857445305,ไม่มี,ไม่มี,28,ปกติ,0,ปกติ,1,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/12,6/12,ไม่มี,ไม่มี,2025-05-19
HN000520,นาย,กันตพงศ์,สายชล,5809405989372.00,1944-10-23,81,ประถมศึกษา,ชาย,242,13,ต.บางเขน,อ.บางเขน,จ.กรุงเทพมหานคร,บ้านเลขที่ 242 หมู่ 13 ต.บางเขน อ.บางเขน จ.กรุงเทพมหานคร,อาทิตย์ สมใจ,670186140,ไม่มี,ไม่มี,24,ปกติ,4,ปกติ,0,ไม่มีความเสี่ยง,ปกติ,,ปกติ,,6/18,6/18,มี,ไม่มี,2025-09-11
HN000521,นางสาว,ชวัลลักษณ์,สิงหนาท,4504006050324.00,1935-02-01,90,ประถมศึกษา,หญิง,82,5,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 82 หมู่ 5 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,นงนุช สมใจ,887292935,มี,ไตเรื้อรัง,18,สงสัยผิดปกติ,12,เสี่ยงซึมเศร้า,10,ปานกลาง,ปกติ,,ผิดปกติ,ได้ยินไม่ชัด,6/24,6/18,ไม่มี,ไม่มี,2025-03-20
HN000522,นาย,ธนพล,ใจดี,2426770262075.00,1953-05-01,72,สูงกว่าประถมศึกษา,หญิง,267,9,ต.ท่าวังทอง,อ.เมืองพะเยา,จ.พะเยา,บ้านเลขที่ 267 หมู่ 9 ต.ท่าวังทอง อ.เมืองพะเยา จ.พะเยา,จารุวรรณ เพ็งดี,985022994,มี,ข้อเข่าเสื่อม,29,ปกติ,11,เสี่ยงซึมเศร้า,6,ปานกลาง,ผิดปกติ,หูตึงเล็กน้อย,ปกติ,,6/9,6/9,ไม่มี,ไม่มี,2025-08-07
HN000523,นาย,พิมพ์ชนก,จันทร์เพ็ญ,2157296582126.00,1931-10-23,94,สูงกว่าประถมศึกษา,ชาย,64,20,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 64 หมู่ 20 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,จิตรา อินทรา,815838672,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,6,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงรุนแรง,ปกติ,,6/12,6/24,ไม่มี,ไม่มี,2025-12-26
HN000524,นางสาว,ณัฐพล,จันทร์เพ็ญ,6143642212107.00,1939-07-01,86,ประถมศึกษา,ชาย,90,6,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 90 หมู่ 6 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,กมล เพ็งดี,900701947,มี,ไขมันในเลือดสูง,20,สงสัยผิดปกติ,6,ปกติ,1,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ปกติ,,6/18,6/18,ไม่มี,ส่งต่อแพทย์,2025-12-03
HN000525,นาย,สมศรี,สิงหนาท,9570573167952.00,1930-06-10,95,สูงกว่าประถมศึกษา,ชาย,182,13,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 182 หมู่ 13 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,จิตรา วงศ์ไทย,836026607,ไม่มี,ไม่มี,22,สงสัยผิดปกติ,10,เสี่ยงซึมเศร้า,5,ต่ำ,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,ได้ยินไม่ชัด,6/12,6/24,มี,ส่งต่อแพทย์,2025-08-18
HN000526,นาย,สมชาย,เรืองเดช,3694703453348.00,1961-09-26,64,ประถมศึกษา,หญิง,128,12,ต.รังสิต,อ.ธัญบุรี,จ.ปทุมธานี,บ้านเลขที่ 128 หมู่ 12 ต.รังสิต อ.ธัญบุรี จ.ปทุมธานี,จารุวรรณ บุญเรือง,640047802,มี,โรคหัวใจ,29,ปกติ,6,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,ติดเชื้อในหู,ปกติ,,6/12,6/12,ไม่มี,ไม่มี,2025-10-05
HN000527,นาง,อัญชลี,ปัญญาธรรม,1547468807512.00,1939-07-01,86,ประถมศึกษา,ชาย,25,4,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 25 หมู่ 4 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,กมล เพ็งดี,832684877,มี,ไขมันในเลือดสูง,20,สงสัยผิดปกติ,6,ปกติ,1,ต่ำ,ผิดปกติ,หูตึงรุนแรง,ปกติ,,6/18,6/18,ไม่มี,ส่งต่อแพทย์,2025-12-03
HN000528,นาย,สมชาย,กิติวงศ์,7789249618584.00,1950-11-08,75,ประถมศึกษา,ชาย,298,18,ต.ลาดพร้าว,อ.ลาดพร้าว,จ.กรุงเทพมหานคร,บ้านเลขที่ 298 หมู่ 18 ต.ลาดพร้าว อ.ลาดพร้าว จ.กรุงเทพมหานคร,สมพร สมใจ,988374889,ไม่มี,ไม่มี,28,ปกติ,0,ปกติ,1,ต่ำ,ปกติ,,ผิดปกติ,หูตึงรุนแรง,6/12,6/12,ไม่มี,ไม่มี,2025-05-19
HN000529,นาง,ภูริ,อินทรสุข,5634457494154.00,1962-04-14,63,ประถมศึกษา,หญิง,203,18,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 203 หมู่ 18 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,นงนุช เพ็งดี,647877896,มี,ความดันโลหิตสูง,28,ปกติ,1,ปกติ,3,ต่ำ,ปกติ,,ปกติ,,6/6,6/9,ไม่มี,ไม่มี,2025-04-22
HN000530,นางสาว,กฤตภาส,คำแหง,9162121762499.00,1952-12-05,73,ประถมศึกษา,หญิง,135,12,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 135 หมู่ 12 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,กมล ปัญญา,859179224,มี,ไตเรื้อรัง,30,ปกติ,4,ปกติ,4,ต่ำ,ปกติ,,ผิดปกติ,หูตึงเล็กน้อย,6/9,6/18,ไม่มี,ไม่มี,2025-10-01
HN000531,นางสาว,นรินทร์,ศิริกุล,2900743480261.00,1951-05-02,74,สูงกว่าประถมศึกษา,หญิง,133,10,ต.สุเทพ,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 133 หมู่ 10 ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่,กมล วงศ์ไทย,608850017,ไม่มี,ไม่มี,25,ปกติ,8,เสี่ยงซึมเศร้า,11,สูง,ผิดปกติ,หูตึงเล็กน้อย,ผิดปกติ,ได้ยินไม่ชัด,6/18,6/18,ไม่มี,ไม่มี,2025-02-10
HN000532,นางสาว,ธนพล,เสริมสุข,2802437470811.00,1952-12-05,73,ประถมศึกษา,หญิง,93,18,ต.หนองปรือ,อ.บางละมุง,จ.ชลบุรี,บ้านเลขที่ 93 หมู่ 18 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี,กมล ปัญญา,675741764,มี,ไตเรื้อรัง,30,ปกติ,4,ปกติ,4,ต่ำ,ปกติ,,ผิดปกติ,หูตึงเล็กน้อย,6/9,6/18,ไม่มี,ไม่มี,2025-10-01
HN000533,นาย,ชวัลลักษณ์,โชติช่วง,2485707418790.00,1950-08-04,75,สูงกว่าประถมศึกษา,ชาย,279,4,ต.ช้างเผือก,อ.เมืองเชียงใหม่,จ.เชียงใหม่,บ้านเลขที่ 279 หมู่ 4 ต.ช้างเผือก อ.เมืองเชียงใหม่ จ.เชียงใหม่,ไม่มีผู้ดูแล,943403280,ไม่มี,ไม่มี,24,ปกติ,3,ปกติ,0,ไม่มีความเสี่ยง,ผิดปกติ,หูตึงปานกลาง,ผิดปกติ,หูตึงรุนแรง,6/18,6/18,ไม่มี,ไม่มี,2025-05-16
HN000534,นางสาว,สายฝน,รัตนสกุล,4032879569801.00,1946-03-10,79,ประถมศึกษา,ชาย,67,14,ต.สำราญ,อ.เมืองขอนแก่น,จ.ขอนแก่น,บ้านเลขที่ 67 หมู่ 14 ต.สำราญ อ.เมืองขอนแก่น จ.ขอนแก่น,ไม่มีผู้ดูแล,666939466,ไม่มี,ไม่มี,21,สงสัยผิดปกติ,4,ปกติ,3,ต่ำ,ผิดปกติ,ได้ยินไม่ชัด,ผิดปกติ,หูตึงปานกลาง,6/9,6/12,มี,ไม่มี,2025-08-14
